Rank,Player,Year,Age,Draft,Team,League,Games Played,Games Started,Years,Pro-Bowl Selections,First-Team All-Pro Selections,Approximate Value
1,Arian Foster,2010,24,,HOU,NFL,16,13,1,1,1,20
2,James Harrison,2010,32,,PIT,NFL,16,16,1,1,1,19
3,Clay Matthews,2010,24,1-26,GNB,NFL,15,15,1,1,1,19
4,Tom Brady,2010,33,6-199,NWE,NFL,16,16,1,1,1,18
5,Julius Peppers,2010,30,1-2,CHI,NFL,16,16,1,1,1,18
6,Jamaal Charles,2010,24,3-73,KAN,NFL,16,6,1,1,1,17
7,Haloti Ngata,2010,26,1-12,BAL,NFL,16,15,1,1,1,17
8,Sione Pouha,2010,31,3-88,NYJ,NFL,16,15,1,0,0,17
9,Philip Rivers,2010,29,1-4,SDG,NFL,16,16,1,1,0,17
10,Matt Schaub,2010,29,3-90,HOU,NFL,16,16,1,0,0,17
11,Sebastian Vollmer,2010,26,2-58,NWE,NFL,16,16,1,0,0,17
12,Peyton Manning,2010,34,1-1,IND,NFL,16,16,1,1,0,16
13,Troy Polamalu,2010,29,1-16,PIT,NFL,14,14,1,1,1,16
14,Matt Ryan,2010,25,1-3,ATL,NFL,16,16,1,1,0,16
15,Roddy White,2010,29,1-27,ATL,NFL,16,16,1,1,1,16
16,John Abraham,2010,32,1-13,ATL,NFL,15,13,1,1,1,15
17,Jahri Evans,2010,27,4-108,NOR,NFL,16,16,1,1,1,15
18,Ray Lewis,2010,35,1-26,BAL,NFL,16,16,1,1,0,15
19,Aaron Rodgers,2010,27,1-24,GNB,NFL,15,15,1,0,0,15
20,Ndamukong Suh,2010,23,1-2,DET,NFL,16,16,1,1,1,15
21,Justin Tuck,2010,27,3-74,NYG,NFL,16,16,1,1,0,15
22,Brian Urlacher,2010,32,1-9,CHI,NFL,16,16,1,1,0,15
23,Michael Vick,2010,30,1-1,PHI,NFL,12,12,1,1,0,15
24,Drew Brees,2010,31,2-32,NOR,NFL,16,16,1,1,0,14
25,Josh Freeman,2010,22,1-17,TAM,NFL,16,16,1,0,0,14
26,Maurice Jones-Drew,2010,25,2-60,JAX,NFL,14,14,1,1,0,14
27,Matt Light,2010,32,2-48,NWE,NFL,16,16,1,1,0,14
28,Jerod Mayo,2010,24,1-10,NWE,NFL,16,16,1,1,1,14
29,Darrelle Revis,2010,25,1-14,NYJ,NFL,13,13,1,1,1,14
30,Patrick Willis,2010,25,1-11,SFO,NFL,15,15,1,1,1,14
31,Matt Forte,2010,25,2-44,CHI,NFL,16,16,1,0,0,13
32,Andre Johnson,2010,29,1-3,HOU,NFL,13,13,1,1,0,13
33,Chris Johnson,2010,25,1-24,TEN,NFL,16,16,1,1,0,13
34,LeSean McCoy,2010,22,2-53,PHI,NFL,15,13,1,0,0,13
35,Darren McFadden,2010,23,1-4,OAK,NFL,13,13,1,0,0,13
36,Carl Nicks,2010,25,5-164,NOR,NFL,16,16,1,1,0,13
37,Maurkice Pouncey,2010,21,1-18,PIT,NFL,16,16,1,1,0,13
38,Ray Rice,2010,23,2-55,BAL,NFL,16,14,1,0,0,13
39,Chris Snee,2010,28,2-34,NYG,NFL,16,16,1,1,0,13
40,Osi Umenyiora,2010,29,2-56,NYG,NFL,16,16,1,0,0,13
41,Cameron Wake,2010,28,,MIA,NFL,16,16,1,1,0,13
42,Reggie Wayne,2010,32,1-30,IND,NFL,16,16,1,1,1,13
43,Dwayne Bowe,2010,26,1-23,KAN,NFL,16,16,1,1,0,12
44,Matt Cassel,2010,28,7-230,KAN,NFL,15,15,1,1,0,12
45,Jay Cutler,2010,27,1-11,CHI,NFL,15,15,1,0,0,12
46,Kris Dielman,2010,29,,SDG,NFL,15,15,1,1,0,12
47,Joe Flacco,2010,25,1-18,BAL,NFL,16,16,1,0,0,12
48,London Fletcher,2010,35,,WAS,NFL,16,16,1,1,0,12
49,David Garrard,2010,32,4-108,JAX,NFL,14,14,1,0,0,12
50,Chris Harris,2010,28,6-181,CHI,NFL,16,16,1,0,0,12
51,Brandon Lloyd,2010,29,4-124,DEN,NFL,16,11,1,1,0,12
52,Jake Long,2010,25,1-1,MIA,NFL,16,16,1,1,1,12
53,Logan Mankins,2010,28,1-32,NWE,NFL,9,9,1,1,1,12
54,Eli Manning,2010,29,1-1,NYG,NFL,16,16,1,0,0,12
55,Jason Peters,2010,28,,PHI,NFL,13,13,1,1,0,12
56,Ed Reed,2010,32,1-24,BAL,NFL,10,10,1,1,1,12
57,Ben Roethlisberger,2010,28,1-11,PIT,NFL,12,12,1,0,0,12
